Rk,Player,Age,Team,Pos,G,GS,MP,PER▼,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
27,Franz Wagner,23,ORL,SF,60,60,2023,20.1,.558,.303,.268,3.0,17.1,9.7,26.6,1.9,1.0,9.6,31.0,2.6,3.1,5.6,.133,2.6,0.5,3.1,2.6,,wagnefr01
28,Anthony Edwards,23,MIN,SG,79,79,2871,20.1,.595,.503,.308,2.4,14.8,8.7,20.9,1.6,1.7,12.0,31.4,4.6,3.8,8.4,.140,4.4,0.0,4.3,4.6,MVP-7CPOY-3ASNBA2,edwaran01
29,Paolo Banchero,22,ORL,PF,46,46,1582,20.0,.551,.299,.423,3.5,22.4,12.5,26.0,1.1,1.7,11.2,33.6,1.1,2.4,3.5,.106,3.4,0.2,3.5,2.2,,banchpa01
30,Walker Kessler,23,UTA,C,58,58,1740,20.0,.660,.081,.363,16.6,27.1,21.9,8.3,1.0,7.4,15.0,13.7,3.6,1.8,5.4,.149,1.1,0.7,1.8,1.7,,kesslwa01
31,Jakob Poeltl,29,TOR,C,57,56,1686,20.0,.641,.005,.249,11.7,23.3,17.4,14.5,1.9,4.0,14.7,18.7,3.0,2.5,5.5,.158,0.7,1.3,2.0,1.7,,poeltja01
32,James Harden,35,LAC,PG,79,79,2789,20.0,.582,.516,.446,2.3,16.1,9.3,36.8,2.1,2.0,18.0,29.6,4.0,4.3,8.3,.143,3.5,0.8,4.3,4.4,MVP-10ASNBA3,hardeja01
33,Darius Garland,25,CLE,PG,75,75,2301,19.9,.600,.451,.217,2.3,7.6,5.0,32.2,1.9,0.4,12.8,27.2,5.8,2.3,8.1,.169,3.9,-0.8,3.1,3.0,CPOY-6AS,garlada01
34,Kyrie Irving,32,DAL,SG,50,50,1804,19.9,.594,.380,.226,3.7,10.6,7.2,20.5,1.8,1.1,9.7,27.4,3.4,1.3,4.6,.124,3.9,-0.5,3.4,2.5,CPOY-10AS,irvinky01
35,Tyler Herro,25,MIA,SG,77,77,2725,19.7,.605,.486,.237,1.4,14.6,8.1,26.2,1.3,0.6,11.5,28.0,4.7,2.7,7.4,.131,3.8,-0.7,3.1,3.5,AS,herroty01
36,Jaren Jackson Jr.,25,MEM,C,74,74,2207,19.6,.591,.321,.328,4.4,15.5,10.0,10.1,1.9,4.7,9.9,28.1,3.2,3.2,6.4,.139,1.6,0.8,2.3,2.4,DPOY-7ASDEF2,jacksja02
